Nome Cientifico;Nome Popular;Reino;Filo;Ordem;Classe;Familia;Geno;Especie;Categoria ;Tendencia da população
Mesoclemmys hogei;Cágado do Paraíba;ANIMALIA;CHORDATA;TESTUDINES;REPTILIA;CHELIDAE;Mesoclemmys;hogei;Critically Endangered;Decreasing
Lupinoblennius paivai;Blênio;ANIMALIA;CHORDATA;PERCIFORMES;ACTINOPTERYGII;BLENNIIDAE;Lupinoblennius;paivai;Endangered;Decreasing
Bokermannohyla izecksohni;Perereca robusta de Izecksohni ;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;HYLIDAE;Bokermannohyla;izecksohni;Critically Endangered;Decreasing
Trichodactylus crassus;Caranguejo de Água Doce ;ANIMALIA;ARTHROPODA;DECAPODA;MALACOSTRACA;TRICHODACTYLIDAE;Trichodactylus;crassus;Endangered;Unknown
Melanophryniscus langonei;Sapinho de barriga vermelha;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;BUFONIDAE;Melanophryniscus;langonei;Critically Endangered;Unknown
Minagrion ribeiroi;Libélula;ANIMALIA;ARTHROPODA;ODONATA;INSECTA;COENAGRIONIDAE;Minagrion;ribeiroi;Critically Endangered;Unknown
Micrathyria kleerekoperi;Libélula;ANIMALIA;ARTHROPODA;ODONATA;INSECTA;LIBELLULIDAE;Micrathyria;kleerekoperi;Critically Endangered;Unknown
Erythrodiplax nivea;Libélula;ANIMALIA;ARTHROPODA;ODONATA;INSECTA;LIBELLULIDAE;Erythrodiplax;nivea;Critically Endangered;Unknown
Elga newtonsantosi;Libélula;ANIMALIA;ARTHROPODA;ODONATA;INSECTA;LIBELLULIDAE;Elga;newtonsantosi;Critically Endangered;Unknown
Lepthoplosternum tordilho;Tamboatá;ANIMALIA;CHORDATA;SILURIFORMES;ACTINOPTERYGII;CALLICHTHYIDAE;Lepthoplosternum;tordilho;Endangered;Decreasing
Phrynomedusa fimbriata;Perereca paulista;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;PHYLLOMEDUSIDAE;Phrynomedusa;fimbriata;Extinct;Extinct
Thoropa lutzi;Rãzinha dos rochedos;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;CYCLORAMPHIDAE;Thoropa;lutzi;Endangered;Decreasing
Melanophryniscus devincenzii;Sapinho de barriga vermelha;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;BUFONIDAE;Melanophryniscus;devincenzii;Endangered;Decreasing
Boana cymbalum;Rã do folhiço;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;HYLIDAE;Boana;cymbalum;Critically Endangered;Decreasing
Ololygon alcatraz;Perereca de alcatrazes;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;HYLIDAE;Ololygon;alcatraz;Critically Endangered;Decreasing
Proceratophrys moratoi;Sapo da terra;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;ODONTOPHRYNIDAE;Proceratophrys;moratoi;Critically Endangered;Decreasing
Physalaemus soaresi;Rãzinha;ANIMALIA;CHORDATA;ANURA;AMPHIBIA;LEPTODACTYLIDAE;Physalaemus;soaresi;Endangered;Decreasing
Pteronura brasiliensis;Ariranha;ANIMALIA;CHORDATA;CARNIVORA;MAMMALIA;MUSTELIDAE;Pteronura;brasiliensis;Endangered;Decreasing
